# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC004019.13	ENSG00000236754	ENST00000611039	antisense	0	0	0	16	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	10
AC004461.4	ENSG00000237347	ENST00000412461	processed_pseudogene	0	0	0	8	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0
AC005300.5	ENSG00000236325	ENST00000428401	processed_pseudogene	0	0	0	42	0	0	0	0	1	0	0	0	0	41	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000415503	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000595864	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000596334	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000598339	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000600617	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000600937	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000601746	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000608610	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000609191	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000609644	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.13	ENSG00000236540	ENST00000628442	antisense	0	0	0	18	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
AC006547.15	ENSG00000268292	ENST00000600090	antisense	0	0	0	18	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0
AC006547.8	ENSG00000243762	ENST00000412713	antisense	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
AC006548.19	ENSG00000225480	ENST00000427470	processed_pseudogene	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006548.28	ENSG00000280156	ENST00000623130	sense_overlapping	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC006946.12	ENSG00000235328	ENST00000429106	processed_pseudogene	0	0	0	10	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0
AC007064.22	ENSG00000237835	ENST00000422608	processed_pseudogene	0	0	0	97	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007064.25	ENSG00000237358	ENST00000412238	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC007064.29	ENSG00000283535	ENST00000637740	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AC007326.1	ENSG00000279560	ENST00000623496	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC008079.10	ENSG00000280007	ENST00000623543	antisense	0	0	0	99	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0
AC008103.3	ENSG00000276095	ENST00000614596	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACO2	ENSG00000100412	ENST00000216254	protein_coding	1	129	11	12	6	0	0	0	0	0	0	1	11	0	0	1	3	0	0	0	0	129	6
ACO2	ENSG00000100412	ENST00000396512	protein_coding	1	129	11	12	6	0	0	0	0	0	0	1	11	0	0	1	3	0	0	0	0	129	6
ACO2	ENSG00000100412	ENST00000466237	processed_transcript	0	0	0	87	0	0	0	0	52	0	0	0	0	17	0	0	0	0	0	0	0	0	18
ACO2	ENSG00000100412	ENST00000471094	processed_transcript	0	0	0	59	0	0	0	0	21	0	0	12	0	19	0	0	0	0	0	0	0	0	7
ACO2	ENSG00000100412	ENST00000478010	retained_intron	0	1	0	44	0	0	0	0	8	0	0	0	0	27	0	0	1	0	0	0	0	0	10
ACO2	ENSG00000100412	ENST00000481310	processed_transcript	0	0	0	35	0	0	0	0	8	0	0	0	0	10	0	0	0	0	0	0	0	0	17
ACO2	ENSG00000100412	ENST00000482208	retained_intron	0	0	0	37	0	0	0	0	21	0	0	0	0	11	0	0	0	0	0	0	0	0	5
ACTR3BP2	ENSG00000280263	ENST00000623630	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACTR3BP6	ENSG00000226444	ENST00000422332	processed_pseudogene	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000326341	antisense	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000412790	antisense	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	ENSG00000178803	ENST00000427813	antisense	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AIFM3	ENSG00000183773	ENST00000399163	protein_coding	0	3	1	18	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	3	2
AIFM3	ENSG00000183773	ENST00000399167	protein_coding	0	3	1	18	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	3	2
AIFM3	ENSG00000183773	ENST00000405089	protein_coding	0	3	1	16	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	3	0
AIFM3	ENSG00000183773	ENST00000417515	nonsense_mediated_decay	0	0	0	10	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000426113	nonsense_mediated_decay	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIFM3	ENSG00000183773	ENST00000434714	protein_coding	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
AIFM3	ENSG00000183773	ENST00000440238	protein_coding	0	3	1	16	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	3	0
AIFM3	ENSG00000183773	ENST00000441376	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000465606	processed_transcript	0	0	0	20	0	0	0	0	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0
AIFM3	ENSG00000183773	ENST00000467926	retained_intron	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000468124	processed_transcript	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIFM3	ENSG00000183773	ENST00000472575	retained_intron	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000479523	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000483107	processed_transcript	0	0	0	20	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000484206	retained_intron	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIFM3	ENSG00000183773	ENST00000486003	retained_intron	0	0	0	20	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AIFM3	ENSG00000183773	ENST00000495869	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AIFM3	ENSG00000183773	ENST00000496097	processed_transcript	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL022237.3	ENSG00000234735	ENST00000446663	processed_pseudogene	0	0	0	15	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
AL022476.2	ENSG00000230319	ENST00000443063	antisense	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ANKRD54	ENSG00000100124	ENST00000609454	protein_coding	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ANKRD54	ENSG00000100124	ENST00000609706	processed_transcript	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ANKRD62P1	ENSG00000259271	ENST00000434304	transcribed_unprocessed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	ENSG00000189295	ENST00000456726	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ANKRD62P1-PARP4P3	ENSG00000189295	ENST00000457060	lincRNA	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ANP32BP2	ENSG00000231801	ENST00000454525	processed_pseudogene	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000343.1	ENSG00000214526	ENST00000440602	processed_pseudogene	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
AP000343.2	ENSG00000236611	ENST00000450776	lincRNA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AP000344.4	ENSG00000227755	ENST00000454268	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000417194	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000432595	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000435868	transcribed_unprocessed_pseudogene	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000437294	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000438858	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AP000347.2	ENSG00000272578	ENST00000444220	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AP000349.2	ENSG00000280178	ENST00000624319	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AP000350.10	ENSG00000251357	ENST00000433835	protein_coding	2	4	17	17	6	0	0	0	0	0	0	13	17	0	1	0	1	0	1	0	0	3	0
AP000351.13	ENSG00000235689	ENST00000440539	unprocessed_pseudogene	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AP000354.2	ENSG00000215464	ENST00000396982	processed_pseudogene	1	0	0	41	0	0	0	0	0	0	0	1	0	41	1	0	0	0	0	0	0	0	0
AP000357.4	ENSG00000224334	ENST00000409926	processed_pseudogene	0	0	0	17	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
AP000358.5	ENSG00000237601	ENST00000456260	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AP000361.2	ENSG00000237472	ENST00000415639	processed_pseudogene	0	0	0	33	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0
AP000362.1	ENSG00000223679	ENST00000420944	unprocessed_pseudogene	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
AP1B1	ENSG00000100280	ENST00000317368	protein_coding	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
AP1B1	ENSG00000100280	ENST00000357586	protein_coding	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
AP1B1	ENSG00000100280	ENST00000402502	protein_coding	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
AP1B1	ENSG00000100280	ENST00000405198	protein_coding	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
AP1B1	ENSG00000100280	ENST00000415447	protein_coding	0	33	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	33	0
AP1B1	ENSG00000100280	ENST00000415756	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AP1B1	ENSG00000100280	ENST00000421126	protein_coding	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
AP1B1	ENSG00000100280	ENST00000432560	protein_coding	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
AP1B1	ENSG00000100280	ENST00000473606	retained_intron	0	0	0	33	0	0	0	0	23	0	0	0	0	10	0	0	0	0	0	0	0	0	0
AP1B1P1	ENSG00000234479	ENST00000432373	processed_transcript	0	0	0	4	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
AP1B1P1	ENSG00000234479	ENST00000448124	transcribed_unprocessed_pseudogene	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AP1B1P2	ENSG00000232707	ENST00000416196	unprocessed_pseudogene	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
APOL3	ENSG00000128284	ENST00000349314	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000361710	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000397287	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000397289	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000397293	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000422426	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000424878	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000426939	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000432700	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000472303	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000485453	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000487355	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000487423	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000487783	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000525184	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000530895	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000531195	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL3	ENSG00000128284	ENST00000534251	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOL6	ENSG00000221963	ENST00000409652	protein_coding	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARL5AP4	ENSG00000224806	ENST00000430731	processed_pseudogene	0	0	0	17	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000307790	protein_coding	0	11	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	0
ASCC2	ENSG00000100325	ENST00000397771	protein_coding	0	11	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	0
ASCC2	ENSG00000100325	ENST00000411532	protein_coding	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ASCC2	ENSG00000100325	ENST00000458594	nonsense_mediated_decay	0	0	0	30	15	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000464287	processed_transcript	0	0	0	15	0	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000472433	processed_transcript	0	0	0	15	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000478812	processed_transcript	0	0	0	15	0	0	0	0	6	0	0	0	0	9	0	0	0	0	0	0	0	0	0
ASCC2	ENSG00000100325	ENST00000487486	retained_intron	0	0	0	15	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	9
ASCC2	ENSG00000100325	ENST00000542393	protein_coding	0	11	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	0
ATF4	ENSG00000128272	ENST00000337304	protein_coding	1	62	22	14	0	0	9	1	0	0	0	1	21	0	1	0	0	0	0	0	0	62	5
ATF4	ENSG00000128272	ENST00000396680	protein_coding	1	62	22	14	0	0	9	1	0	0	0	1	21	0	1	0	0	0	0	0	0	62	5
ATF4	ENSG00000128272	ENST00000404241	protein_coding	1	62	22	14	0	0	9	1	0	0	0	1	21	0	1	0	0	0	0	0	0	62	5
ATP5L2	ENSG00000249222	ENST00000505920	protein_coding	1	5	9	2	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	5	0
ATP6V1E1	ENSG00000131100	ENST00000253413	protein_coding	4	37	1	6	6	0	0	0	0	0	0	6	1	0	1	3	4	0	0	0	1	34	0
ATP6V1E1	ENSG00000131100	ENST00000399796	protein_coding	4	27	0	17	6	0	0	0	0	0	0	17	0	0	1	3	3	0	0	0	1	24	0
ATP6V1E1	ENSG00000131100	ENST00000399798	protein_coding	3	34	1	10	1	0	0	0	5	0	0	8	1	0	1	2	2	0	0	0	1	32	0
ATP6V1E1	ENSG00000131100	ENST00000413576	protein_coding	3	32	1	13	0	0	2	0	11	0	0	5	1	0	1	2	5	0	0	0	0	29	0
ATP6V1E1	ENSG00000131100	ENST00000460085	processed_transcript	1	2	0	15	0	0	0	0	5	0	0	2	0	11	0	1	2	0	0	0	0	0	0
ATP6V1E1	ENSG00000131100	ENST00000473248	retained_intron	1	0	0	18	0	0	0	0	5	0	0	1	0	13	0	1	0	0	0	0	0	0	0
ATP6V1E1	ENSG00000131100	ENST00000478963	processed_transcript	2	2	0	14	0	0	0	0	0	0	0	3	0	15	0	2	2	0	0	0	0	0	0
ATP6V1E1	ENSG00000131100	ENST00000481365	retained_intron	2	1	0	35	0	0	0	0	9	0	0	2	0	26	0	2	1	0	0	0	0	0	1
ATP6V1E1	ENSG00000131100	ENST00000484653	retained_intron	2	1	0	26	0	0	0	0	0	0	0	2	0	26	0	2	1	0	0	0	0	0	1
ATXN10	ENSG00000130638	ENST00000252934	protein_coding	1	40	22	24	0	0	0	0	0	0	0	25	22	0	1	0	0	0	0	0	0	40	0
ATXN10	ENSG00000130638	ENST00000381061	protein_coding	1	40	22	24	0	0	0	0	0	0	0	25	22	0	1	0	0	0	0	0	0	40	0
ATXN10	ENSG00000130638	ENST00000402380	protein_coding	0	9	5	24	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	9	21
ATXN10	ENSG00000130638	ENST00000435026	protein_coding	0	3	1	21	0	0	0	0	0	0	0	21	1	0	0	0	0	0	0	0	0	3	0
ATXN10	ENSG00000130638	ENST00000451241	processed_transcript	0	0	0	25	0	0	0	0	0	0	0	21	0	4	0	0	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000464482	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
ATXN10	ENSG00000130638	ENST00000470722	processed_transcript	0	0	0	26	0	0	0	0	24	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000476998	processed_transcript	1	0	0	35	0	0	0	0	4	0	0	1	0	5	1	0	0	0	0	0	0	0	26
ATXN10	ENSG00000130638	ENST00000483549	retained_intron	0	0	0	10	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1
ATXN10	ENSG00000130638	ENST00000493643	processed_transcript	0	0	0	42	0	0	0	0	0	0	0	24	0	18	0	0	0	0	0	0	0	0	0
ATXN10	ENSG00000130638	ENST00000498009	processed_transcript	1	0	0	44	0	0	0	0	0	0	0	1	0	31	1	0	0	0	0	0	0	0	13
BAIAP2L2	ENSG00000128298	ENST00000332536	protein_coding	0	0	0	44	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	42
BAIAP2L2	ENSG00000128298	ENST00000381669	protein_coding	0	0	0	46	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	44
BCL2L13	ENSG00000099968	ENST00000317582	protein_coding	0	0	0	5	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000337612	protein_coding	0	0	0	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000355028	protein_coding	0	0	0	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000399777	nonsense_mediated_decay	0	0	0	5	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000399781	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000399782	protein_coding	0	0	0	4	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000418951	protein_coding	0	0	0	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000464649	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000479296	processed_transcript	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000485631	processed_transcript	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
BCL2L13	ENSG00000099968	ENST00000493680	protein_coding	0	0	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000498133	nonsense_mediated_decay	0	0	0	5	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000538149	protein_coding	0	0	0	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
BCL2L13	ENSG00000099968	ENST00000543133	protein_coding	0	0	0	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
